,Suburb,Address,Type,Method,SellerG,Date,CouncilArea,Regionname,Propertycount
0,Abbotsford,85 Turner St,h,S,Biggin,3/12/2016,Yarra,Northern Metropolitan,4019.0
1,Abbotsford,25 Bloomburg St,h,S,Biggin,4/02/2016,Yarra,Northern Metropolitan,4019.0
2,Abbotsford,5 Charles St,h,SP,Biggin,4/03/2017,Yarra,Northern Metropolitan,4019.0
3,Abbotsford,40 Federation La,h,PI,Biggin,4/03/2017,Yarra,Northern Metropolitan,4019.0
4,Abbotsford,55a Park St,h,VB,Nelson,4/06/2016,Yarra,Northern Metropolitan,4019.0
5,Abbotsford,129 Charles St,h,S,Jellis,7/05/2016,Yarra,Northern Metropolitan,4019.0
6,Abbotsford,124 Yarra St,h,S,Nelson,7/05/2016,Yarra,Northern Metropolitan,4019.0
7,Abbotsford,98 Charles St,h,S,Nelson,8/10/2016,Yarra,Northern Metropolitan,4019.0
8,Abbotsford,6/241 Nicholson St,u,S,Biggin,8/10/2016,Yarra,Northern Metropolitan,4019.0
9,Abbotsford,10 Valiant St,h,S,Biggin,8/10/2016,Yarra,Northern Metropolitan,4019.0
10,Abbotsford,411/8 Grosvenor St,u,VB,Jellis,12/11/2016,Yarra,Northern Metropolitan,4019.0
11,Abbotsford,40 Nicholson St,h,VB,Nelson,12/11/2016,Yarra,Northern Metropolitan,4019.0
12,Abbotsford,123/56 Nicholson St,u,S,Biggin,12/11/2016,Yarra,Northern Metropolitan,4019.0
13,Abbotsford,45 William St,h,S,Biggin,13/08/2016,Yarra,Northern Metropolitan,4019.0
14,Abbotsford,7/20 Abbotsford St,u,SP,Greg,14/05/2016,Yarra,Northern Metropolitan,4019.0
15,Abbotsford,16 William St,h,S,Jellis,15/10/2016,Yarra,Northern Metropolitan,4019.0
16,Abbotsford,42 Henry St,h,S,Jellis,16/07/2016,Yarra,Northern Metropolitan,4019.0
17,Abbotsford,78 Yarra St,h,S,LITTLE,16/07/2016,Yarra,Northern Metropolitan,4019.0
